Movimiento Natural de la Población (Resultados Provisionales)
Matrimonios
Matrimonios por provincia de residencia del matrimonio, mes de celebración y forma de celebración del matrimonio
Unidades: matrimonios

;Enero;;;;;Febrero;;;;;Marzo;;;;;Abril;;;;;Mayo;;;;;Junio;;;;;Julio;;;;;Agosto;;;;;Septiembre;;;;;Octubre;;;;;Noviembre;;;;;Diciembre;;;;;Total;;;;;
;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;
Burgos;32.0;2.0;30.0;..;..;34.0;3.0;30.0;..;1.0;53.0;4.0;49.0;..;..;59.0;17.0;41.0;..;1.0;80.0;21.0;58.0;..;1.0;153.0;56.0;93.0;..;4.0;181.0;77.0;99.0;..;5.0;142.0;51.0;88.0;..;3.0;182.0;74.0;100.0;..;8.0;72.0;18.0;50.0;..;4.0;43.0;6.0;34.0;..;3.0;59.0;5.0;52.0;..;2.0;1090.0;334.0;724.0;..;32.0;
Cáceres;28.0;1.0;27.0;..;..;42.0;3.0;39.0;..;..;65.0;9.0;53.0;3.0;..;93.0;27.0;66.0;..;..;103.0;31.0;72.0;..;..;145.0;53.0;92.0;..;..;180.0;99.0;79.0;2.0;..;124.0;58.0;66.0;..;..;195.0;97.0;97.0;1.0;..;94.0;34.0;60.0;..;..;49.0;4.0;45.0;..;..;54.0;5.0;49.0;..;..;1172.0;421.0;745.0;6.0;..;
Cádiz;135.0;8.0;125.0;..;2.0;137.0;14.0;123.0;..;..;265.0;30.0;231.0;1.0;3.0;308.0;83.0;220.0;..;5.0;355.0;81.0;265.0;1.0;8.0;612.0;213.0;379.0;6.0;14.0;593.0;240.0;342.0;4.0;7.0;417.0;176.0;237.0;2.0;2.0;872.0;403.0;452.0;2.0;15.0;484.0;193.0;277.0;1.0;13.0;281.0;49.0;223.0;..;9.0;276.0;28.0;244.0;..;4.0;4735.0;1518.0;3118.0;17.0;82.0;
Cantabria;46.0;2.0;40.0;1.0;3.0;61.0;2.0;54.0;1.0;4.0;107.0;8.0;88.0;1.0;10.0;105.0;16.0;82.0;..;7.0;173.0;25.0;134.0;1.0;13.0;258.0;51.0;193.0;2.0;12.0;302.0;89.0;191.0;1.0;21.0;241.0;66.0;152.0;1.0;22.0;363.0;115.0;232.0;5.0;11.0;246.0;53.0;172.0;..;21.0;102.0;11.0;77.0;1.0;13.0;111.0;9.0;95.0;..;7.0;2115.0;447.0;1510.0;14.0;144.0;
Castellón/Castelló;66.0;3.0;63.0;..;..;92.0;9.0;82.0;..;1.0;123.0;10.0;113.0;..;..;161.0;35.0;126.0;..;..;191.0;51.0;140.0;..;..;273.0;76.0;197.0;..;..;237.0;60.0;176.0;..;1.0;124.0;25.0;98.0;1.0;..;336.0;110.0;226.0;..;..;235.0;73.0;161.0;..;1.0;131.0;26.0;105.0;..;..;85.0;10.0;75.0;..;..;2054.0;488.0;1562.0;1.0;3.0;
Ciudad Real;41.0;3.0;37.0;..;1.0;56.0;2.0;49.0;..;5.0;78.0;14.0;54.0;..;10.0;99.0;33.0;61.0;..;5.0;151.0;67.0;75.0;..;9.0;264.0;127.0;119.0;3.0;15.0;274.0;129.0;130.0;1.0;14.0;194.0;106.0;85.0;..;3.0;222.0;108.0;105.0;..;9.0;161.0;71.0;81.0;..;9.0;68.0;15.0;48.0;2.0;3.0;69.0;9.0;53.0;..;7.0;1677.0;684.0;897.0;6.0;90.0;
Córdoba;37.0;1.0;36.0;..;..;79.0;13.0;65.0;..;1.0;177.0;54.0;122.0;..;1.0;246.0;113.0;130.0;3.0;..;258.0;117.0;139.0;2.0;..;428.0;203.0;222.0;..;3.0;372.0;172.0;192.0;1.0;7.0;212.0;102.0;107.0;1.0;2.0;498.0;279.0;212.0;1.0;6.0;306.0;165.0;140.0;..;1.0;176.0;49.0;125.0;1.0;1.0;106.0;26.0;79.0;..;1.0;2895.0;1294.0;1569.0;9.0;23.0;
Coruña, A;120.0;3.0;113.0;1.0;3.0;140.0;5.0;130.0;..;5.0;194.0;13.0;179.0;2.0;..;262.0;37.0;223.0;..;2.0;324.0;53.0;269.0;..;2.0;483.0;100.0;375.0;2.0;6.0;591.0;175.0;409.0;1.0;6.0;570.0;180.0;377.0;5.0;8.0;650.0;189.0;445.0;2.0;14.0;355.0;83.0;270.0;..;2.0;202.0;24.0;176.0;..;2.0;226.0;21.0;202.0;..;3.0;4117.0;883.0;3168.0;13.0;53.0;
Cuenca;19.0;1.0;18.0;..;..;22.0;3.0;19.0;..;..;24.0;7.0;17.0;..;..;24.0;7.0;17.0;..;..;49.0;25.0;24.0;..;..;63.0;29.0;34.0;..;..;84.0;41.0;42.0;..;1.0;61.0;29.0;31.0;1.0;..;62.0;32.0;30.0;..;..;38.0;16.0;22.0;..;..;26.0;7.0;19.0;..;..;19.0;7.0;12.0;..;..;491.0;204.0;285.0;1.0;1.0;
Gipuzkoa;93.0;5.0;86.0;1.0;1.0;108.0;5.0;101.0;2.0;..;139.0;10.0;127.0;2.0;..;157.0;21.0;133.0;2.0;1.0;260.0;28.0;228.0;1.0;3.0;381.0;63.0;315.0;2.0;1.0;425.0;85.0;332.0;3.0;5.0;150.0;48.0;98.0;2.0;2.0;458.0;107.0;347.0;2.0;2.0;257.0;60.0;190.0;..;7.0;162.0;20.0;138.0;3.0;1.0;129.0;7.0;118.0;3.0;1.0;2719.0;459.0;2213.0;23.0;24.0;
