MNP Estadística de Nacimientos
Nacimientos.Datos por provincias y capitales
Nacimientos por residencia de la madre (provincia), meses del año y  sexo del nacido.
Unidades: Nacimientos

;Total;;;Enero;;;Febrero;;;Marzo;;;Abril;;;Mayo;;;Junio;;;Julio;;;Agosto;;;Septiembre;;;Octubre;;;Noviembre;;;Diciembre;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;
Ciudad Real;4013.0;2144.0;1869.0;326.0;183.0;143.0;294.0;162.0;132.0;316.0;168.0;148.0;291.0;164.0;127.0;311.0;151.0;160.0;359.0;197.0;162.0;374.0;194.0;180.0;330.0;172.0;158.0;356.0;179.0;177.0;387.0;218.0;169.0;317.0;170.0;147.0;352.0;186.0;166.0;
Córdoba;6497.0;3426.0;3071.0;542.0;284.0;258.0;513.0;276.0;237.0;560.0;293.0;267.0;510.0;275.0;235.0;545.0;276.0;269.0;498.0;274.0;224.0;586.0;318.0;268.0;580.0;285.0;295.0;566.0;300.0;266.0;535.0;280.0;255.0;536.0;281.0;255.0;526.0;284.0;242.0;
Coruña, A;7745.0;3958.0;3787.0;601.0;310.0;291.0;612.0;304.0;308.0;644.0;352.0;292.0;641.0;316.0;325.0;617.0;311.0;306.0;619.0;329.0;290.0;664.0;320.0;344.0;720.0;353.0;367.0;651.0;335.0;316.0;681.0;354.0;327.0;670.0;349.0;321.0;625.0;325.0;300.0;
Cuenca;1407.0;685.0;722.0;127.0;62.0;65.0;107.0;63.0;44.0;112.0;57.0;55.0;98.0;48.0;50.0;141.0;66.0;75.0;113.0;52.0;61.0;108.0;41.0;67.0;124.0;63.0;61.0;134.0;66.0;68.0;135.0;57.0;78.0;107.0;55.0;52.0;101.0;55.0;46.0;
Gipuzkoa;5593.0;2909.0;2684.0;501.0;261.0;240.0;435.0;243.0;192.0;434.0;227.0;207.0;430.0;219.0;211.0;509.0;271.0;238.0;444.0;215.0;229.0;489.0;260.0;229.0;481.0;243.0;238.0;484.0;262.0;222.0;485.0;245.0;240.0;463.0;243.0;220.0;438.0;220.0;218.0;
Girona;7022.0;3583.0;3439.0;612.0;301.0;311.0;536.0;253.0;283.0;574.0;320.0;254.0;534.0;289.0;245.0;590.0;291.0;299.0;526.0;265.0;261.0;587.0;291.0;296.0;609.0;298.0;311.0;660.0;335.0;325.0;618.0;316.0;302.0;596.0;325.0;271.0;580.0;299.0;281.0;
Granada;7968.0;4082.0;3886.0;666.0;340.0;326.0;575.0;293.0;282.0;693.0;351.0;342.0;643.0;345.0;298.0;662.0;351.0;311.0;638.0;321.0;317.0;752.0;372.0;380.0;653.0;350.0;303.0;673.0;323.0;350.0;694.0;364.0;330.0;680.0;348.0;332.0;639.0;324.0;315.0;
Guadalajara;2192.0;1119.0;1073.0;144.0;68.0;76.0;166.0;82.0;84.0;210.0;99.0;111.0;157.0;68.0;89.0;181.0;95.0;86.0;203.0;107.0;96.0;181.0;96.0;85.0;195.0;98.0;97.0;190.0;101.0;89.0;197.0;105.0;92.0;184.0;97.0;87.0;184.0;103.0;81.0;
Huelva;4673.0;2411.0;2262.0;402.0;213.0;189.0;381.0;187.0;194.0;391.0;204.0;187.0;357.0;173.0;184.0;322.0;189.0;133.0;386.0;205.0;181.0;402.0;197.0;205.0;393.0;199.0;194.0;399.0;200.0;199.0;427.0;208.0;219.0;391.0;214.0;177.0;422.0;222.0;200.0;
Huesca;1723.0;888.0;835.0;150.0;74.0;76.0;137.0;67.0;70.0;123.0;73.0;50.0;158.0;77.0;81.0;148.0;81.0;67.0;129.0;60.0;69.0;138.0;75.0;63.0;144.0;70.0;74.0;170.0;86.0;84.0;137.0;58.0;79.0;155.0;93.0;62.0;134.0;74.0;60.0;
Jaén;4900.0;2475.0;2425.0;432.0;211.0;221.0;378.0;201.0;177.0;430.0;227.0;203.0;364.0;202.0;162.0;403.0;209.0;194.0;417.0;212.0;205.0;449.0;221.0;228.0;400.0;191.0;209.0;378.0;191.0;187.0;442.0;218.0;224.0;414.0;206.0;208.0;393.0;186.0;207.0;
León;2634.0;1310.0;1324.0;204.0;102.0;102.0;173.0;86.0;87.0;209.0;99.0;110.0;241.0;115.0;126.0;226.0;117.0;109.0;204.0;112.0;92.0;240.0;128.0;112.0;255.0;117.0;138.0;206.0;105.0;101.0;243.0;120.0;123.0;208.0;102.0;106.0;225.0;107.0;118.0;
Lleida;3735.0;1908.0;1827.0;366.0;192.0;174.0;279.0;148.0;131.0;293.0;139.0;154.0;305.0;169.0;136.0;337.0;162.0;175.0;290.0;161.0;129.0;325.0;167.0;158.0;328.0;145.0;183.0;317.0;171.0;146.0;301.0;162.0;139.0;308.0;156.0;152.0;286.0;136.0;150.0;
Lugo;2082.0;1034.0;1048.0;163.0;76.0;87.0;151.0;77.0;74.0;199.0;114.0;85.0;167.0;74.0;93.0;179.0;92.0;87.0;161.0;67.0;94.0;183.0;93.0;90.0;176.0;87.0;89.0;156.0;86.0;70.0;176.0;85.0;91.0;182.0;96.0;86.0;189.0;87.0;102.0;
Madrid;60555.0;31136.0;29419.0;4960.0;2539.0;2421.0;4561.0;2353.0;2208.0;5161.0;2639.0;2522.0;4927.0;2608.0;2319.0;5209.0;2641.0;2568.0;5206.0;2615.0;2591.0;5202.0;2650.0;2552.0;5159.0;2683.0;2476.0;5144.0;2657.0;2487.0;5298.0;2718.0;2580.0;4933.0;2546.0;2387.0;4795.0;2487.0;2308.0;
Málaga;14422.0;7351.0;7071.0;1221.0;641.0;580.0;1057.0;540.0;517.0;1169.0;598.0;571.0;1102.0;550.0;552.0;1189.0;582.0;607.0;1050.0;510.0;540.0;1241.0;609.0;632.0;1247.0;669.0;578.0;1331.0;693.0;638.0;1336.0;692.0;644.0;1325.0;675.0;650.0;1154.0;592.0;562.0;
Murcia;15088.0;7729.0;7359.0;1214.0;644.0;570.0;1180.0;611.0;569.0;1223.0;623.0;600.0;1200.0;622.0;578.0;1199.0;599.0;600.0;1239.0;618.0;621.0;1246.0;618.0;628.0;1339.0;701.0;638.0;1327.0;686.0;641.0;1368.0;702.0;666.0;1307.0;648.0;659.0;1246.0;657.0;589.0;
Navarra;5746.0;2928.0;2818.0;462.0;237.0;225.0;419.0;234.0;185.0;455.0;240.0;215.0;454.0;231.0;223.0;464.0;231.0;233.0;483.0;228.0;255.0;524.0;253.0;271.0;537.0;273.0;264.0;503.0;250.0;253.0;495.0;259.0;236.0;494.0;251.0;243.0;456.0;241.0;215.0;
Ourense;1709.0;881.0;828.0;141.0;69.0;72.0;114.0;60.0;54.0;154.0;74.0;80.0;157.0;72.0;85.0;146.0;72.0;74.0;143.0;88.0;55.0;154.0;73.0;81.0;145.0;71.0;74.0;136.0;76.0;60.0;138.0;74.0;64.0;138.0;81.0;57.0;143.0;71.0;72.0;
Palencia;1076.0;581.0;495.0;73.0;43.0;30.0;84.0;48.0;36.0;103.0;54.0;49.0;87.0;53.0;34.0;79.0;41.0;38.0;87.0;41.0;46.0;107.0;57.0;50.0;105.0;57.0;48.0;84.0;50.0;34.0;100.0;49.0;51.0;83.0;42.0;41.0;84.0;46.0;38.0;
Palmas, Las;8244.0;4233.0;4011.0;722.0;355.0;367.0;625.0;331.0;294.0;670.0;332.0;338.0;599.0;298.0;301.0;636.0;338.0;298.0;658.0;335.0;323.0;701.0;366.0;335.0;651.0;358.0;293.0;704.0;363.0;341.0;812.0;409.0;403.0;733.0;379.0;354.0;733.0;369.0;364.0;
Pontevedra;6909.0;3598.0;3311.0;578.0;313.0;265.0;494.0;249.0;245.0;572.0;294.0;278.0;511.0;272.0;239.0;551.0;291.0;260.0;599.0;318.0;281.0;603.0;309.0;294.0;659.0;352.0;307.0;595.0;295.0;300.0;632.0;318.0;314.0;561.0;303.0;258.0;554.0;284.0;270.0;
Rioja, La;2566.0;1364.0;1202.0;200.0;99.0;101.0;188.0;106.0;82.0;213.0;120.0;93.0;225.0;118.0;107.0;240.0;133.0;107.0;223.0;126.0;97.0;202.0;105.0;97.0;221.0;116.0;105.0;207.0;119.0;88.0;234.0;122.0;112.0;209.0;102.0;107.0;204.0;98.0;106.0;
Salamanca;2028.0;1022.0;1006.0;166.0;79.0;87.0;147.0;66.0;81.0;163.0;89.0;74.0;175.0;81.0;94.0;200.0;110.0;90.0;158.0;75.0;83.0;214.0;109.0;105.0;154.0;73.0;81.0;165.0;82.0;83.0;176.0;90.0;86.0;153.0;81.0;72.0;157.0;87.0;70.0;
Santa Cruz de Tenerife;7535.0;3878.0;3657.0;634.0;328.0;306.0;607.0;317.0;290.0;625.0;325.0;300.0;544.0;273.0;271.0;561.0;276.0;285.0;576.0;304.0;272.0;665.0;329.0;336.0;649.0;321.0;328.0;651.0;347.0;304.0;706.0;364.0;342.0;663.0;345.0;318.0;654.0;349.0;305.0;
Segovia;1076.0;551.0;525.0;59.0;30.0;29.0;81.0;42.0;39.0;98.0;51.0;47.0;83.0;40.0;43.0;101.0;52.0;49.0;91.0;61.0;30.0;99.0;53.0;46.0;81.0;42.0;39.0;112.0;46.0;66.0;92.0;47.0;45.0;96.0;45.0;51.0;83.0;42.0;41.0;
Sevilla;17884.0;9228.0;8656.0;1465.0;797.0;668.0;1356.0;663.0;693.0;1550.0;801.0;749.0;1422.0;725.0;697.0;1381.0;726.0;655.0;1400.0;749.0;651.0;1497.0;761.0;736.0;1548.0;799.0;749.0;1494.0;771.0;723.0;1646.0;863.0;783.0;1538.0;780.0;758.0;1587.0;793.0;794.0;
